No,Component Name,Category,Keywords,Description,Animation Library,CSS Only,Trigger Type,Complexity,Performance Impact,Accessibility Notes,Best For,Do Not Use For,Mobile Friendly,Implementation Hints
150,Noise Background,Background,"noise background perlin simplex generative organic flowing field","Generative noise-based flowing background using Perlin/Simplex noise",WebGL or Canvas,No,continuous,Medium,High,"Purely decorative; provide solid color fallback; heavy GPU on large viewports","Creative agencies, music/art, hero backgrounds, experimental UIs","Mobile-first, performance-critical, content-heavy pages",No,"WebGL fragment shader with noise function; or Canvas with noise.js library; animate seed/offset over time; blend with base colors"
151,Elastic Slider,Navigation,"elastic slider range control stretch rubber band physics input","Slider/range control with elastic/rubber-band physics feedback on drag",Motion or @use-gesture,No,drag,Medium,Low,"Standard range input must work as fallback; keyboard accessible (arrow keys); announce value changes","Media players, preference settings, image editing, filter controls","Precise numeric input, forms requiring exact values",Yes,"Custom slider track/thumb; drag with @use-gesture; overshoot spring on release; visual stretch of track; value tooltip"
152,Infinite Menu,Navigation,"infinite menu scroll loop wrap circular navigation continuous","Menu that loops/wraps infinitely when scrolling through items",Custom JS or Motion,No,scroll/drag,Medium,Low,"Keyboard navigation must work (arrow keys cycle); announce active item; visible item count","Category browsers, date pickers, media libraries, product catalogs","Short lists (<10 items), primary navigation, settings",Partial,"Virtualized list with clone-at-edges for seamless wrap; momentum scrolling; snap to items; or CSS scroll-snap with JS wrapping"
153,Fluid Glass,Card,"fluid glass morphism depth layers flowing liquid refraction","Advanced glassmorphism with fluid/liquid refraction animation in the glass layer",CSS or WebGL,Partial,continuous/hover,Medium,Medium,"Ensure text contrast over glass; vibrant background required; provide solid fallback","Premium UIs, luxury products, modern SaaS, creative portfolios","Low-contrast backgrounds, accessibility-focused, mobile (performance)",Partial,"backdrop-filter: blur with animated pseudo-element behind; noise texture overlay; gradient shift animation; border with animated opacity"
154,Pixelated Image Transition,Transition,"pixelated image transition mosaic reveal block dissolve","Image transitions by pixelating/dissolving into blocks revealing the next image",Canvas or CSS,No,click/auto,Medium,Medium,"Both images need alt text; provide instant swap for reduced-motion; don't use for critical content","Image galleries, portfolio slideshows, hero image carousels, before/after","Fast-cycling content, thumbnails, mobile (performance)",Partial,"Canvas: sample source + target at decreasing pixel sizes; blend at threshold; or CSS: grid of clip-path squares transitioning individually"
155,Text Along SVG Path,Text,"text along SVG path curved baseline custom shape warped","Text rendered along a custom SVG path following any curve or shape",SVG textPath,Yes,static/scroll,Low,Low,"Provide linear text via aria-label; decorative text only; ensure readability along path","Badges, circular layouts, artistic headings, decorative elements, stamps","Body text, navigation, buttons, dense content",Yes,"SVG textPath with xlink:href to path; startOffset for position; animate startOffset for scrolling text along path"
156,Animated Accordion,Interaction,"accordion expand collapse animate height smooth content reveal","Smooth height animation for accordion/collapsible content sections",CSS or Motion,Yes,click,Low,Low,"Announce expanded/collapsed state; keyboard accessible (Enter/Space); focus management on expand","FAQ sections, documentation, settings panels, product features","Deeply nested content (limit depth), very long content panels",Yes,"CSS: grid-template-rows: 0fr to 1fr transition; or Motion: animate height auto with AnimatePresence; overflow:hidden during transition"
157,Scroll-Linked Video,Scroll,"scroll linked video playback scrub frame control scroll driven","Video playback controlled by scroll position — scrub through frames as user scrolls",GSAP ScrollTrigger or custom JS,No,scroll,High,High,"Provide play button for non-scroll access; fallback image for performance; respect reduced-motion","Product reveals, storytelling, cinematic landing pages, Apple-style","Mobile (performance + data), short pages, content-heavy sections",No,"Video element with scroll-driven currentTime; preload video; or image sequence with IntersectionObserver; ScrollTrigger scrub: true"
158,Typing Cursor,Text,"typing cursor blink caret animated input terminal prompt","Blinking cursor caret animation for terminal/command-line style interfaces",CSS,Yes,continuous,Low,Low,"Purely decorative; don't use for actual input fields; reduced-motion: static caret","Terminal UIs, code demos, typing effects, developer tools","Standard inputs, body text, non-tech contexts",Yes,"border-right: 2px solid; animation: blink 1s step-end infinite; @keyframes blink { 50% { border-color: transparent } }"
159,Scramble Hover,Text,"scramble hover text random characters mouse over link","Text scrambles through random characters when hovered then resolves back",GSAP or custom JS,No,hover,Medium,Low,"Provide instant text for screen readers; text readable in both states; disable on touch","Navigation links, portfolio project titles, creative menus, CTAs","Body text, mobile, accessibility-critical content, dense menus",Partial,"On mouseenter: requestAnimationFrame loop cycling random chars; resolve front-to-back with delay; on mouseleave: instant resolve or reverse"
160,Animated Number Ticker,Text,"number ticker scroll digit rolling odometer slot machine","Individual digits roll/scroll like an odometer or slot machine to display changing numbers",CSS or Motion,Partial,load/scroll/update,Low,Low,"Final number in aria-label; provide instant display for reduced-motion","Dashboards, statistics, pricing, scoreboards, stock tickers","Body text, labels, non-numeric content",Yes,"Each digit in overflow:hidden container; translateY to show target digit; column of 0-9 stacked; spring or ease-out transition"
